kind,train_row,contrast,deltas,mean,paired_sd,t,n_pos,n
same_adapter_pair,int8-offload,int8-resident-vs-nf4-resident,-0.002248;-0.006838;-0.009131,-0.006072,0.003505,-3.001,0,3
same_adapter_pair,int8-resident,int8-resident-vs-nf4-resident,-0.006882;-0.010599;-0.004999,-0.007493,0.002850,-4.555,0,3
same_adapter_pair,nf4-offload,int8-resident-vs-nf4-resident,-0.000331;-0.000154;+0.014016,+0.004510,0.008233,0.949,1,3
same_adapter_pair,nf4-resident,int8-resident-vs-nf4-resident,-0.002139;-0.003345;+0.004742,-0.000247,0.004363,-0.098,1,3
cross_adapter_contrast,int8-offload-vs-int8-resident,int8-resident,-0.004532;-0.004374;-0.009965,-0.006290,0.003184,-3.422,0,3
cross_adapter_contrast,int8-offload-vs-nf4-offload,int8-resident,-0.003049;+0.003034;-0.019299,-0.006438,0.011546,-0.966,1,3
cross_adapter_contrast,int8-offload-vs-nf4-resident,int8-resident,-0.003881;-0.006864;-0.006054,-0.005600,0.001543,-6.288,0,3
cross_adapter_contrast,int8-resident-vs-nf4-offload,int8-resident,+0.001482;+0.007408;-0.009334,-0.000148,0.008489,-0.030,2,3
cross_adapter_contrast,int8-resident-vs-nf4-resident,int8-resident,+0.000651;-0.002490;+0.003911,+0.000690,0.003201,0.374,2,3
cross_adapter_contrast,nf4-offload-vs-nf4-resident,int8-resident,-0.000832;-0.009898;+0.013245,+0.000838,0.011661,0.125,1,3
cross_adapter_contrast,int8-offload-vs-int8-resident,nf4-resident,-0.009167;-0.008134;-0.005833,-0.007711,0.001706,-7.827,0,3
cross_adapter_contrast,int8-offload-vs-nf4-offload,nf4-resident,-0.001133;+0.009718;+0.003848,+0.004145,0.005432,1.322,2,3
cross_adapter_contrast,int8-offload-vs-nf4-resident,nf4-resident,-0.003772;-0.003370;+0.007819,+0.000225,0.006579,0.059,1,3
cross_adapter_contrast,int8-resident-vs-nf4-offload,nf4-resident,+0.008034;+0.017852;+0.009681,+0.011856,0.005258,3.905,3,3
cross_adapter_contrast,int8-resident-vs-nf4-resident,nf4-resident,+0.005394;+0.004764;+0.013652,+0.007937,0.004960,2.772,3,3
cross_adapter_contrast,nf4-offload-vs-nf4-resident,nf4-resident,-0.002639;-0.013089;+0.003970,-0.003919,0.008601,-0.789,1,3
